no_of_rooms,surface,no_of_bathrooms,partitioning,age,price,no_of_terraces,no_of_parking,user_id,city,county,title
3,65,1,Semidecomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 582
2,50,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 583
3,67,2,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 584
2,53,1,Semidecomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 585
2,55,1,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 586
3,75,2,Decomandat,Vechi,500,2,1,1,Cluj,Cluj-Napoca,Apartament 587
2,80,2,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 588
2,68,1,Semidecomandat,Nou,600,2,1,1,Cluj,Cluj-Napoca,Apartament 589
1,45,1,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 590
3,110,2,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 591
1,50,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 592
4,115,2,Semidecomandat,Nou,480,1,1,1,Cluj,Cluj-Napoca,Apartament 593
2,60,1,Semidecomandat,Vechi,410,1,1,1,Cluj,Cluj-Napoca,Apartament 594
