no_of_rooms,surface,no_of_bathrooms,partitioning,age,price,no_of_terraces,no_of_parking,user_id,city,county,title
2,42,1,Semidecomandat,Vechi,260,1,0,1,Cluj,Cluj-Napoca,Apartament 94
2,45,1,Decomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 95
2,45,1,Semidecomandat,Vechi,475,1,1,1,Cluj,Cluj-Napoca,Apartament 96
1,18,1,Decomandat,Nou,180,1,0,1,Cluj,Cluj-Napoca,Apartament 97
3,85,2,Decomandat,Vechi,530,2,1,1,Cluj,Cluj-Napoca,Apartament 98
1,25,1,Semidecomandat,Nou,185,1,0,1,Cluj,Cluj-Napoca,Apartament 99
2,60,1,Decomandat,Vechi,320,2,0,1,Cluj,Cluj-Napoca,Apartament 100
2,56,1,Decomandat,Vechi,360,1,1,1,Cluj,Cluj-Napoca,Apartament 101
1,28,1,Decomandat,Vechi,190,1,0,1,Cluj,Cluj-Napoca,Apartament 102
3,85,1,Semidecomandat,Vechi,900,1,2,1,Cluj,Cluj-Napoca,Apartament 103
2,52,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 104
2,60,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 105
3,74,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 106
3,85,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 107
3,70,2,Decomandat,Nou,545,2,1,1,Cluj,Cluj-Napoca,Apartament 108
2,58,1,Semidecomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 109
1,44,1,Decomandat,Nou,330,1,0,1,Cluj,Cluj-Napoca,Apartament 110
4,64,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 111
2,47,1,Semidecomandat,Nou,750,1,2,1,Cluj,Cluj-Napoca,Apartament 112
2,67,1,Decomandat,Nou,460,1,1,1,Cluj,Cluj-Napoca,Apartament 113
3,68,1,Semidecomandat,Nou,800,2,2,1,Cluj,Cluj-Napoca,Apartament 114
4,110,2,Semidecomandat,Nou,1700,3,3,1,Cluj,Cluj-Napoca,Apartament 115
2,64,1,Decomandat,Vechi,420,2,1,1,Cluj,Cluj-Napoca,Apartament 116
2,46,1,Semidecomandat,Nou,580,2,1,1,Cluj,Cluj-Napoca,Apartament 117
3,78,2,Decomandat,Vechi,480,2,1,1,Cluj,Cluj-Napoca,Apartament 118
3,75,2,Semidecomandat,Vechi,800,1,2,1,Cluj,Cluj-Napoca,Apartament 119
3,85,2,Semidecomandat,Vechi,999,2,2,1,Cluj,Cluj-Napoca,Apartament 120
2,55,1,Decomandat,Vechi,260,1,0,1,Cluj,Cluj-Napoca,Apartament 121
2,31,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 122
2,55,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 123
2,60,1,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 124
1,44,1,Decomandat,Nou,270,1,0,1,Cluj,Cluj-Napoca,Apartament 125
2,41,1,Decomandat,Decomandat,399,1,1,1,Cluj,Cluj-Napoca,Apartament 126
2,55,1,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 127
3,60,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 128
1,22,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 129
3,65,2,Semidecomandat,Nou,390,1,1,1,Cluj,Cluj-Napoca,Apartament 130
3,65,1,Decomandat,Nou,700,2,2,1,Cluj,Cluj-Napoca,Apartament 131
1,42,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 132
2,35,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 133
2,50,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 134
3,75,2,Semidecomandat,Vechi,630,1,1,1,Cluj,Cluj-Napoca,Apartament 135
3,77,2,Decomandat,Vechi,400,2,1,1,Cluj,Cluj-Napoca,Apartament 136
3,70,2,Decomandat,Vechi,500,1,1,1,Cluj,Cluj-Napoca,Apartament 137
2,50,1,Decomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 138
1,24,1,Semidecomandat,Vechi,170,1,0,1,Cluj,Cluj-Napoca,Apartament 139
3,67,1,Semidecomandat,Vechi,650,2,1,1,Cluj,Cluj-Napoca,Apartament 140
3,68,2,Decomandat,Vechi,470,1,1,1,Cluj,Cluj-Napoca,Apartament 141
3,83,1,Semidecomandat,Nou,300,3,0,1,Cluj,Cluj-Napoca,Apartament 142
2,50,1,Decomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 143
1,30,1,Decomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 144
2,57,1,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 145
3,90,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 146
3,72,1,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 147
2,50,1,Decomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 148
